= Coverage for C:\Users\OleJohanBondahl\Documents\GitHub_ZEN\Schematika\src\schematika\ =
------------------------------ Detailed Coverage ------------------------------
| Name                                                          |      Status |
|---------------------------------------------------------------|-------------|
| catalog\cables.py (module)                                    |     COVERED |
| CableSpec (L17)                                               |     COVERED |
| CableSpec.label (L38)                                         |     COVERED |
| CableRegistry (L43)                                           |     COVERED |
| CableRegistry.__init__ (L50)                                  |      MISSED |
| CableRegistry.register (L53)                                  |     COVERED |
| CableRegistry.get (L59)                                       |     COVERED |
| CableRegistry.__contains__ (L65)                              |      MISSED |
| CableRegistry.__len__ (L68)                                   |      MISSED |
| CableRegistry.__iter__ (L71)                                  |      MISSED |
| CableRegistry.by_device (L74)                                 |     COVERED |
| CableRegistry.cables (L83)                                    |     COVERED |
|---------------------------------------------------------------|-------------|
| catalog\device.py (module)                                    |      MISSED |
| InstrumentSpec (L7)                                           |     COVERED |
| InstrumentSpec.tag (L15)                                      |     COVERED |
| InstrumentSpec.first_letter (L20)                             |     COVERED |
| ProcessSpec (L26)                                             |     COVERED |
| ElectricalSpec (L36)                                          |     COVERED |
| CatalogDevice (L46)                                           |     COVERED |
|---------------------------------------------------------------|-------------|
| catalog\errors.py (module)                                    |     COVERED |
| CatalogError (L4)                                             |     COVERED |
|---------------------------------------------------------------|-------------|
| catalog\registry.py (module)                                  |      MISSED |
| DeviceCatalog (L7)                                            |     COVERED |
| DeviceCatalog.__init__ (L13)                                  |      MISSED |
| DeviceCatalog.register (L16)                                  |     COVERED |
| DeviceCatalog.get (L22)                                       |     COVERED |
| DeviceCatalog.__contains__ (L28)                              |      MISSED |
| DeviceCatalog.__len__ (L31)                                   |      MISSED |
| DeviceCatalog.__iter__ (L34)                                  |      MISSED |
| DeviceCatalog.devices (L38)                                   |     COVERED |
| DeviceCatalog.instruments (L42)                               |     COVERED |
| DeviceCatalog.electrical_devices (L46)                        |     COVERED |
| DeviceCatalog.cross_referenced (L50)                          |     COVERED |
| DeviceCatalog.generate_cross_reference_table (L58)            |     COVERED |
|---------------------------------------------------------------|-------------|
| core\__init__.py (module)                                     |      MISSED |
|---------------------------------------------------------------|-------------|
| core\autonumbering.py (module)                                |     COVERED |
| create_autonumberer (L22)                                     |     COVERED |
| get_tag_number (L31)                                          |     COVERED |
| _increment_tag (L44)                                          |     COVERED |
| _format_tag (L58)                                             |     COVERED |
| next_tag (L71)                                                |     COVERED |
| next_terminal_pins (L95)                                      |     COVERED |
| resolve_terminal_pins (L173)                                  |     COVERED |
|---------------------------------------------------------------|-------------|
| core\bbox.py (module)                                         |     COVERED |
| BoundingBox (L18)                                             |     COVERED |
| BoundingBox.width (L34)                                       |      MISSED |
| BoundingBox.height (L38)                                      |      MISSED |
| BoundingBox.center (L42)                                      |      MISSED |
| _collect_points (L46)                                         |     COVERED |
| _collect_path_points (L74)                                    |     COVERED |
| compute_bounding_box (L104)                                   |     COVERED |
|---------------------------------------------------------------|-------------|
| core\connection_registry.py (module)                          |     COVERED |
| Connection (L11)                                              |     COVERED |
| TerminalRegistry (L22)                                        |     COVERED |
| TerminalRegistry.add_connection (L27)                         |     COVERED |
| TerminalRegistry.add_connections (L41)                        |      MISSED |
|---------------------------------------------------------------|-------------|
| core\constants.py (module)                                    |     COVERED |
|---------------------------------------------------------------|-------------|
| core\exceptions.py (module)                                   |     COVERED |
| CircuitValidationError (L4)                                   |     COVERED |
| PortNotFoundError (L16)                                       |     COVERED |
| PortNotFoundError.__init__ (L19)                              |      MISSED |
| ComponentNotFoundError (L29)                                  |     COVERED |
| ComponentNotFoundError.__init__ (L32)                         |      MISSED |
| TagReuseError (L38)                                           |     COVERED |
| TagReuseError.__init__ (L41)                                  |      MISSED |
| TerminalReuseError (L51)                                      |     COVERED |
| TerminalReuseError.__init__ (L54)                             |      MISSED |
| WireLabelMismatchError (L64)                                  |     COVERED |
| WireLabelMismatchError.__init__ (L67)                         |      MISSED |
|---------------------------------------------------------------|-------------|
| core\geometry.py (module)                                     |      MISSED |
| Vector (L5)                                                   |     COVERED |
| Vector.__add__ (L16)                                          |     COVERED |
| Vector.__mul__ (L22)                                          |     COVERED |
| Point (L28)                                                   |     COVERED |
| Point.__add__ (L39)                                           |     COVERED |
| Point.__sub__ (L55)                                           |     COVERED |
| Style (L73)                                                   |     COVERED |
| Element (L94)                                                 |     COVERED |
|---------------------------------------------------------------|-------------|
| core\parts.py (module)                                        |     COVERED |
| standard_style (L43)                                          |     COVERED |
| create_pin_label_text (L59)                                   |     COVERED |
| create_label_text (L89)                                       |     COVERED |
| standard_text (L108)                                          |     COVERED |
| terminal_text (L135)                                          |     COVERED |
| terminal_circle (L168)                                        |     COVERED |
| create_extended_blade (L184)                                  |     COVERED |
| box (L216)                                                    |     COVERED |
| create_pin_labels (L243)                                      |     COVERED |
| _add_remapped_ports (L301)                                    |     COVERED |
| pad_pins (L327)                                               |     COVERED |
| multipole (L335)                                              |     COVERED |
| multipole._factory (L365)                                     |      MISSED |
| draw_rectangle (L398)                                         |     COVERED |
|---------------------------------------------------------------|-------------|
| core\primitives.py (module)                                   |     COVERED |
| Line (L14)                                                    |     COVERED |
| Circle (L29)                                                  |     COVERED |
| Text (L44)                                                    |     COVERED |
| Path (L69)                                                    |     COVERED |
| Group (L82)                                                   |     COVERED |
| Polygon (L95)                                                 |     COVERED |
|---------------------------------------------------------------|-------------|
| core\renderer.py (module)                                     |      MISSED |
| _style_to_str (L21)                                           |     COVERED |
| _render_element (L44)                                         |     COVERED |
| calculate_bounds (L108)                                       |     COVERED |
| calculate_bounds.expand (L120)                                |      MISSED |
| calculate_bounds.process (L127)                               |      MISSED |
| to_xml_element (L161)                                         |     COVERED |
